"Rk","Player","Age","Team","conference","division","Pos","Pos_cat","G","GS","GS.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","all_star","rank_topbottom10"
11,"VJ Edgecombe",20,"PHI","East","Atlantic","SG","SG",55,55,1,1943,5.8,13.5,0.431,2.1,5.8,0.36,3.7,7.6,0.485,0.509,1.9,2.4,0.808,1.6,4.1,5.7,4,1.5,0.5,1.9,3.1,15.6,"",0,NA
12,"Brandon Ingram",28,"TOR","East","Atlantic","SF","SF",57,57,1,1939,8.6,18.3,0.47,1.9,5.2,0.368,6.7,13.1,0.511,0.522,4,4.8,0.829,0.9,5.3,6.1,4,0.8,0.8,2.6,2.1,23.1,"AS",1,NA
13,"Dyson Daniels",22,"ATL","East","Southeast","SG","SG",58,58,1,1937,5.5,11,0.497,0.2,1.6,0.129,5.3,9.4,0.559,0.507,1.1,1.8,0.598,2.4,4.7,7,6.7,2.1,0.4,2,2.4,12.2,"",0,NA
14,"Nickeil Alexander-Walker",27,"ATL","East","Southeast","SG","SG",58,51,0.879,1925,7.3,16.8,0.431,3.3,8.8,0.373,4,8,0.495,0.529,3.7,4.2,0.888,0.6,3.2,3.9,4.1,1.3,0.6,2.3,2.3,21.5,"",0,NA
15,"Derrick White",31,"BOS","East","Atlantic","SG","SG",56,56,1,1922,6.3,16,0.391,3,9.2,0.324,3.3,6.8,0.481,0.484,2.5,2.8,0.893,1.2,3.5,4.7,5.9,1.2,1.6,1.9,1.6,18,"",0,NA
16,"Jalen Johnson",24,"ATL","East","Southeast","SF","SF",54,54,1,1901,8.7,17.6,0.494,1.6,4.7,0.343,7.1,12.9,0.549,0.54,4.5,5.8,0.783,1.6,9.3,10.9,8.1,1.3,0.5,3.5,2.2,23.5,"AS",1,NA
17,"Kon Knueppel",20,"CHO",NA,NA,"SF","SF",59,58,0.983,1884,7.5,15.3,0.491,4,9,0.442,3.5,6.3,0.561,0.621,2.9,3.2,0.893,1.4,4.8,6.1,3.9,0.8,0.3,2.4,2.4,21.9,"",0,NA
18,"Jamal Murray",28,"DEN","West","Northwest","PG","PG",54,54,1,1882,9.1,18.8,0.483,3.2,7.6,0.421,5.9,11.2,0.525,0.568,4.5,5.1,0.884,0.4,4.1,4.5,7.6,1,0.4,2.4,1.6,25.9,"AS",1,NA
19,"Jalen Brunson",29,"NYK","East","Atlantic","PG","PG",54,54,1,1874,9.8,21,0.468,2.9,7.9,0.372,6.9,13.1,0.526,0.538,5.1,6.1,0.844,0.5,3,3.5,6.4,0.7,0.1,2.4,2.5,27.7,"AS",1,NA
20,"Jaden McDaniels",25,"MIN","West","Northwest","PF","PF",58,58,1,1871,6.4,12.3,0.518,1.7,3.8,0.449,4.7,8.5,0.549,0.588,2.4,2.8,0.845,1.3,3.7,5,3.2,1.2,1.2,2,3.8,16.9,"",0,NA
21,"Donte DiVincenzo",29,"MIN","West","Northwest","SG","SG",60,60,1,1867,5.1,12.1,0.419,3.6,9.2,0.391,1.5,2.9,0.51,0.568,1.2,1.6,0.759,1.2,4,5.1,4.9,1.6,0.5,1.8,3,14.9,"",0,NA
22,"Payton Pritchard",28,"BOS","East","Atlantic","PG","PG",57,48,0.842,1865,7.1,15.3,0.462,2.9,7.9,0.363,4.2,7.4,0.566,0.555,1.9,2.2,0.866,1,3.7,4.6,5.9,0.9,0.1,1.4,1.6,18.9,"",0,NA
23,"Trey Murphy III",25,"NOP","West","Southwest","SF","SF",52,52,1,1853,7.8,16.5,0.476,3.3,8.6,0.378,4.6,7.8,0.586,0.575,3.4,3.8,0.892,1.1,4.7,5.8,3.9,1.5,0.3,1.8,2.1,22.3,"",0,NA
24,"Donovan Mitchell",29,"CLE","East","Central","SG","SG",55,55,1,1840,10.7,22.1,0.483,3.7,10.1,0.369,6.9,12,0.578,0.567,5.6,6.6,0.852,0.8,4,4.8,6.3,1.7,0.3,3.3,2.6,30.7,"AS",1,NA
25,"Immanuel Quickley",26,"TOR","East","Atlantic","PG","PG",56,56,1,1818,6.7,14.9,0.449,3,7.8,0.382,3.7,7,0.522,0.549,2.8,3.5,0.803,0.6,4.1,4.7,6.6,1.3,0.1,1.8,2.3,19.2,"",0,NA
26,"Anthony Black",22,"ORL","East","Southeast","PG","PG",58,38,0.655,1815,6.5,14.4,0.454,1.9,5.6,0.343,4.6,8.8,0.525,0.521,3.1,4.2,0.735,0.8,3.7,4.5,4.5,1.6,0.8,2.5,3.1,18,"",0,NA
27,"Rudy Gobert",33,"MIN","West","Northwest","C","C",57,57,1,1792,5.1,7.2,0.708,0,0.1,0,5.1,7.2,0.714,0.708,2.4,4.7,0.502,4.4,8.6,13.1,1.9,0.8,1.9,1.6,3.1,12.6,"",0,NA
28,"James Harden",36,"2TM",NA,NA,"PG","PG",51,51,1,1784,7.4,17.3,0.427,3.1,8.7,0.36,4.3,8.6,0.493,0.517,7.3,8.2,0.899,0.7,4.3,4.9,8.4,1.3,0.4,3.7,2.1,25.2,"",0,NA
28,"James Harden",36,"LAC","West","Pacific","PG","PG",44,44,1,1559,7.5,17.8,0.419,3.1,9,0.347,4.3,8.8,0.492,0.506,7.8,8.6,0.901,0.6,4.3,4.9,8.3,1.3,0.4,3.7,1.9,25.8,"",0,NA
28,"James Harden",36,"CLE","East","Central","PG","PG",7,7,1,225,6.9,13.9,0.494,3.2,6.6,0.488,3.7,7.4,0.5,0.609,4.2,4.8,0.867,1,4.2,5.1,9,1,0.8,3.7,3.2,21.1,"",0,NA
29,"Jaylen Brown",29,"BOS","East","Atlantic","SF","SF",52,52,1,1782,11.3,23.7,0.479,2.1,6.3,0.341,9.2,17.4,0.528,0.524,5.8,7.4,0.779,1.2,6.3,7.5,5.1,1.1,0.5,3.8,2.9,30.6,"AS",1,NA
30,"Cade Cunningham",24,"DET","East","Central","PG","PG",51,51,1,1782,9.2,20.1,0.459,2.1,6.1,0.339,7.1,13.9,0.512,0.511,5.7,7,0.812,1,4.9,5.9,10.1,1.5,1,3.8,3.3,26.2,"AS",1,NA
31,"Anthony Edwards",24,"MIN","West","Northwest","SG","SG",50,50,1,1778,10.4,21.1,0.493,3.4,8.6,0.399,6.9,12.4,0.559,0.575,5.8,7.3,0.789,0.7,4.6,5.3,3.7,1.4,0.8,2.9,1.8,30,"AS",1,NA
32,"Ryan Rollins",23,"MIL","East","Central","PG","PG",55,50,0.909,1772,7.4,15.7,0.47,2.8,6.6,0.418,4.6,9.1,0.507,0.558,1.7,2.3,0.766,0.9,4.2,5.1,6.1,1.7,0.5,2.8,3,19.2,"",0,NA
33,"Royce O'Neale",32,"PHO","West","Pacific","SF","SF",60,55,0.917,1761,4.3,10.3,0.417,3.4,8.3,0.402,0.9,1.9,0.484,0.581,0.4,0.6,0.7,1,5,6,3.5,1.4,0.4,1.8,2.8,12.4,"",0,NA
34,"Miles Bridges",27,"CHO",NA,NA,"PF","PF",55,55,1,1753,7.2,16.1,0.45,2.4,7.2,0.333,4.8,8.9,0.545,0.525,3.3,4,0.845,1.1,5.7,6.8,3.9,0.6,0.6,1.7,2,20.2,"",0,NA
35,"Pascal Siakam",31,"IND","East","Central","PF","PF",52,52,1,1752,9.6,19.8,0.483,2,5.2,0.373,7.6,14.6,0.523,0.533,4.4,6.4,0.682,1.6,5.6,7.2,4.2,1.2,0.5,2.4,2.6,25.5,"AS",1,NA
36,"Onyeka Okongwu",25,"ATL","East","Southeast","C","C",55,44,0.8,1733,6.7,14,0.48,2.3,6.1,0.377,4.4,7.9,0.559,0.562,2.5,3.2,0.783,2.2,6.8,8.9,3.7,1.2,1.2,2.2,3.9,18.2,"",0,NA
37,"Karl-Anthony Towns",30,"NYK","East","Atlantic","C","C",55,55,1,1723,7.6,16,0.477,1.9,5.1,0.367,5.7,10.9,0.529,0.536,5.8,6.8,0.855,3.5,9.9,13.4,3.3,1,0.7,2.9,4,22.9,"AS",1,NA
38,"Alperen Şengün",23,"HOU","West","Southwest","C","C",51,51,1,1720,8.5,17,0.5,0.6,2,0.295,7.9,15,0.527,0.517,4.2,6,0.693,3.3,6.5,9.8,6.8,1.4,1.2,3.4,3.4,21.7,"AS",1,NA
39,"Matas Buzelis",21,"CHI","East","Central","PF","PF",60,60,1,1711,6.9,14.7,0.471,2.7,7.3,0.364,4.3,7.4,0.577,0.562,2.9,3.7,0.773,1.3,5.6,6.9,2.6,0.9,1.9,2.5,3.1,19.4,"",0,NA
40,"Naji Marshall",28,"DAL","West","Southwest","SF","SF",57,33,0.579,1705,6.9,13,0.533,1,3.5,0.297,5.9,9.5,0.619,0.572,3.9,5.1,0.76,1.1,4.9,6,3.7,1.3,0.1,1.7,2.3,18.7,"",0,NA
41,"Collin Gillespie",26,"PHO","West","Pacific","PG","PG",59,40,0.678,1694,5.9,13.7,0.433,3.8,9.1,0.423,2.1,4.6,0.454,0.574,1.3,1.5,0.845,1.3,3.9,5.1,5.9,1.7,0.3,2.1,2,17,"",0,NA
42,"Andrew Wiggins",30,"MIA","East","Southeast","SF","SF",54,54,1,1684,7,14.8,0.475,2.4,5.8,0.408,4.7,9,0.519,0.556,2.2,2.8,0.78,2.1,3.8,5.9,3.2,1.3,1.1,1.9,2.6,18.6,"",0,NA
43,"CJ McCollum",34,"2TM",NA,NA,"PG","PG",56,40,0.714,1676,8.2,18.3,0.452,3.1,8.2,0.379,5.2,10.1,0.511,0.536,2.9,3.8,0.778,0.9,3.3,4.1,4.2,0.9,0.5,2.1,2.2,22.5,"",0,NA
43,"CJ McCollum",34,"WAS","East","Southeast","SG","SG",35,35,1,1082,8,17.6,0.454,3.2,8.1,0.393,4.8,9.5,0.505,0.544,2.7,3.4,0.804,0.8,3.4,4.1,4.2,0.8,0.3,1.9,2.4,21.9,"",0,NA
44,"Paolo Banchero",23,"ORL","East","Southeast","PF","PF",48,48,1,1673,7.5,16.6,0.451,1.2,3.9,0.311,6.3,12.8,0.494,0.488,6.2,8.1,0.771,1.1,7.6,8.7,5.2,0.7,0.7,2.9,2,22.4,"",0,NA
45,"Cooper Flagg",19,"DAL","West","Southwest","SF","SF",49,49,1,1669,8.2,17,0.482,1.1,3.7,0.302,7.1,13.3,0.532,0.515,4,5,0.804,1.2,5.7,6.9,4.4,1.3,0.8,2.3,2.3,21.5,"",0,NA
46,"Wendell Carter Jr.",26,"ORL","East","Southeast","C","C",56,56,1,1661,5.1,10.2,0.497,1.3,3.9,0.322,3.8,6.3,0.605,0.558,2.7,3.4,0.792,2.6,6.6,9.2,2.5,0.9,0.8,1.5,4.3,14.1,"",0,NA
47,"Nikola Vučević",35,"2TM",NA,NA,"C","C",55,48,0.873,1649,7.9,15.8,0.499,1.9,5.2,0.368,6,10.6,0.563,0.559,1.5,1.8,0.817,2.5,8.1,10.6,4.2,0.8,0.8,1.7,2.4,19.2,"",0,NA
47,"Nikola Vučević",35,"CHI","East","Central","C","C",48,48,1,1480,8.1,16.1,0.505,2,5.3,0.376,6.1,10.8,0.568,0.567,1.5,1.8,0.838,2.4,8.1,10.5,4.4,0.8,0.8,1.7,2.4,19.7,"",0,NA
48,"Julian Champagnie",24,"SAS","West","Southwest","SF","SF",59,45,0.763,1646,4.7,10.9,0.433,3.2,8.4,0.382,1.5,2.6,0.598,0.579,2,2.4,0.852,1.1,6.4,7.5,1.9,1,0.6,1.1,2,14.7,"",0,NA
49,"Luka Dončić",26,"LAL","West","Pacific","PG","PG",46,46,1,1640,10.5,22.3,0.47,3.7,10.4,0.357,6.8,11.9,0.569,0.553,8.4,10.8,0.773,0.7,7.1,7.8,8.7,1.4,0.5,4.1,2.5,33,"AS",1,NA
50,"Shai Gilgeous-Alexander",27,"OKC","West","Northwest","PG","PG",49,49,1,1632,11.8,21.3,0.554,1.9,4.9,0.39,9.9,16.3,0.603,0.599,8.9,10,0.892,0.6,4.2,4.8,6.9,1.4,0.8,2.3,2.2,34.4,"AS",1,NA
51,"Keyonte George",22,"UTA","West","Northwest","PG","PG",48,48,1,1629,7.9,17.3,0.458,2.7,7.1,0.375,5.3,10.2,0.515,0.535,6.7,7.5,0.894,0.5,3.6,4.1,6.9,1.1,0.3,3.5,2.5,25.2,"",0,NA
52,"Bam Adebayo",28,"MIA","East","Southeast","C","C",52,52,1,1628,7.6,16.9,0.447,1.9,5.6,0.339,5.7,11.3,0.501,0.503,4.2,5.5,0.771,2.3,9,11.3,3.3,1.1,0.8,2,1.9,21.3,"",0,NA
